git_name,git_url
embedded_systems_course,https://github.com/BioBoost/embedded_systems_course.git
embedded_systems_tools_and_scripts,https://github.com/BioBoost/embedded_systems_tools_and_scripts.git
SuperHairyJoe_JAVA,git@github.com:DavidLejeune/SuperHairyJoe_JAVA.git
PS_AD_Users_script,git@github.com:DavidLejeune/PS_AD_Users_script.git
Pong_JAVA,git@github.com:DavidLejeune/Pong_JAVA.git
01-temperature-converter,git@github.com:DavidLejeune/01-temperature-converter.git
ThumperControl,git@github.com:DavidLejeune/ThumperControl.git
sample_app,git@github.com:DavidLejeune/sample_app.git
DaLe-cmd,git@github.com:DavidLejeune/DaLe-cmd.git
course-databases,https://github.com/sillevl/course-databases.git
WindowsLockscreenDL,git@github.com:DavidLejeune/WindowsLockscreenDL.git
posh-git-sh,https://github.com/lyze/posh-git-sh.git
gpsmapper,git@github.com:DavidLejeune/gpsmapper.git
dotfiles,https://github.com/sillevl/dotfiles.git
