Date,User,Task,Duration
11/3/2016 14:42,David,.\win-DaLe.ps1,0.005661
11/3/2016 2:51:50 PM,David,Show description,0.006214,
11/3/2016 2:53:30 PM,David,SHOW DESCRIPTION,0.0126821,
11/3/2016 2:55:16 PM,David,SHOW DESCRIPTION,0.0117888,
11/3/2016 2:58:42 PM,David,SHOW DESCRIPTION,0.0130204,
11/3/2016 3:01:15 PM,David,SHOW DESCRIPTION,0.0131399,
11/3/2016 3:04:14 PM,David,SHOW DESCRIPTION,0.0116196,
11/3/2016 3:04:27 PM,David,SHOW DESCRIPTION,0.0130098,
11/3/2016 3:04:34 PM,David,SHOW DESCRIPTION,0.0111832,
11/3/2016 3:17:51 PM,David,HANDLE FILES,0.0124584,
11/3/2016 3:18:30 PM,David,HANDLE FILES,0.0125742,
11/3/2016 3:19:27 PM,David,HANDLE FILES,0.0119366,
11/3/2016 3:20:05 PM,David,HANDLE FILES,0.0129412,
11/3/2016 3:20:56 PM,David,HANDLE FILES,0.0108523,
11/3/2016 3:23:59 PM,David,SHOW DESCRIPTION,2.2876723,
11/3/2016 3:25:41 PM,David,q,0.0008859,
11/3/2016 3:25:41 PM,David,BACK TO MAIN MENU,15.4684577,
11/3/2016 3:25:41 PM,David,HANDLE FILES,48.4079875,
11/3/2016 3:25:41 PM,David,BACK TO MAIN MENU,56.6154604,
11/3/2016 3:25:41 PM,David,HANDLE FILES,58.528847,
11/3/2016 3:25:41 PM,David,SHOW DESCRIPTION,61.5806592,
